#/**
# *******************************************************************************
# * Copyright (C) 2002-2004, International Business Machines Corporation and    *
# * others. All Rights Reserved.                                                *
# *******************************************************************************
# */
#Override	List
#Format is <code><tab><char><tab><pinyin>(<tab><comment>)?
#Note: the 'code' field is currently discarded; only the char is important.
#Note: if there is conflict, the FIRST char wins.
#Note: the software corrects some of the tone variations below.

# fix for fifth tone
\u37F7	㟷	dā	#fix for 5th tone

# fixes for typos
U+347C	㑼	liù	#lyuè
U+3500	㔀	lüè	#lvè
U+3527	㔧	liù	#lyù
U+3729	㜩	ào	#àu
U+380E	㠎	jí	#jjí
U+3825	㠥	lǜ	#lv̀
U+3A3C	㨼	lüè	#luè
U+3B5A	㭚	lǚ	#lyǔ
U+3CB6	㲶	lǜ	#lv̀
U+3D56	㵖	nǜ	#nyù
U+3D88	㶈	liǎng	#liǒng
U+3EF2	㻲	lǚ	#lyǔ
U+3F94	㾔	lǚ	#lyǔ
U+4071	䁱	ào	#àu
U+40AE	䂮	lüè	#lyuè
U+430E	䌎	lüè	#lyuè
U+451E	䔞	lǜ	#lyù
U+4588	䖈	nüè	#nuè
U+458B	䖋	nüè	#nuè
U+45A1	䖡	nǜ	#nyù
U+4610	䘐	nǜ	#nyù
U+46BC	䚼	nǜ	#nyù
U+46DA	䛚	lüè	#lyuè
U+4896	䢖	lǜ	#lyù
U+4923	䤣	lüè	#lyuè
U+4968	䥨	lǜ	#lyù
U+4A0B	䨋	nüè	#nyuè
U+4AC4	䫄	chuài	#chuà
U+4D08	䴈	ǎo	#ǎu
U+4D8A	䶊	nǜ	#nyù
U+51CA	凊	qíng	#qýng
U+51D6	凖	zhǔn	#zhuěn
U+5481	咁	gàn	#gèm
U+5838	堸	féng	#fúng
U+639F	掟	lüě	#luě
U+66D5	曕	yàn	#yiàn
U+6B3B	欻	chuài	#chuā
U+6B56	歖	chuài	#chuā
U+6C7C	汼	niū	#niōu
U+6E6D	湭	qiú	#qióu
U+6F71	潱	yē	#yiē
U+7493	璓	xiù	#xiòu
U+7607	瘇	zhǒng	#zhǔng
U+7674	癴	luán	#lüán
U+7867	硧	yǒng	#iǒng
U+7878	硸	nüè	#nuè

# Shanghai fixes

\u4E7F	乿	lē
\u5183	冃	māo
\u5186	円	yuān
\u56F2	囲	tōng
\u5A10	娐	fū
\u5A54	婔	wēi
\u5A6E	婮	jū
\u5A88	媈	huī
\u5A98	媘	jiē
\u5B04	嬄	yī
\u5B1C	嬜	xīn
\u5B2B	嬫	yōng
\u5B33	嬳	wō
\u5B82	宂	tāi
\u5C1B	尛	mō
\u5D0A	崊	līn
\u5D7B	嵻	kāng
\u6457	摗	sōu
\u67E8	柨	pū
\u6836	栶	yīn
\u6B44	歄	guā
\u6B9D	殝	zhēn
\u6D20	洠	wū
\u6F71	潱	yiē
\u709A	炚	guāng
\u7101	焁	xī
\u716F	煯	jiē
\u717E	煾	n̄
\u718D	熍	qiōng
\u7401	琁	xuān
\u7443	瑃	chūn
\u7461	瑡	shī
\u762E	瘮	shēn
\u7775	睵	cāi
\u7A66	穦	bīn
\u7AA4	窤	guān
\u7BAE	箮	xuān
\u807A	聺	qiē
\u80FF	胿	guī
\u8126	脦	dē
\u8192	膒	ōu
\u8283	芃	chāi
\u84C3	蓃	sōu
\u88A5	袥	tuō
\u89C3	觃	kuī
\u8FC7	过	guō
\u8FCC	迌	jiā
\u90A4	邤	xīn
\u90EE	郮	zhōu
\u9537	锷	chāi
\u959A	閚	jiān
\u95C1	闁	bāo
\u9679	陹	shēng
\u97BA	鞺	tāng
\u99EF	駯	zhū
\u9AEC	髬	pēng
\u9AF8	髸	gōng
\u9BC2	鯂	sū
\u7684	的	dē
\u4E86	了	lē
\u4EBA	人	rén
\u8FD9	这	zhè
\u4E2D	中	zhōng
\u5927	大	dà
\u8BF4	说	shuō
\u5B50	子	zǐ
\u548C	和	hé
\u5730	地	dē
\u51FA	出	chū
\u9053	道	dào
\u5F97	得	dé
\u90A3	那	nà
\u8981	要	yào
\u4EE5	以	yǐ
\u4F1A	会	huì
\u8FC7	过	guò
\u91CC	里	lǐ
\u5C0F	小	xiǎo
\u4E48	么	mē
\u597D	好	hǎo
\u90FD	都	dōu
\u8D77	起	qǐ
\u6210	成	chéng
\u53EA	只	zhī
\u4F5C	作	zuò
\u5F53	当	dāng
\u770B	看	kàn
\u6587	文	wén
\u5341	十	shí
