# DerivedNormalizationProps-4.0.0.txt
# Date: 2003-03-20, 20:07:31 GMT [MD]
#
# Unicode Character Database: Derived Property Data
# Generated algorithmically from the Unicode Character Database
# For documentation, see UCD.html
# Note: Unassigned and Noncharacter codepoints may be omitted
#       if they have default property values.
# ================================================

# ================================================

# Derived Property: FC_NFKC_Closure
#  Generated from computing: b = NFKC(Fold(a)); c = NFKC(Fold(b));
#  Then if (c != b) add the mapping from a to c to the set of
#  mappings that constitute the FC_NFKC_Closure list
#  Uses the full case folding from CaseFolding.txt, without the T option.

037A  ; FNC; 0020 03B9
03D2  ; FNC; 03C5
03D3  ; FNC; 03CD
03D4  ; FNC; 03CB
03F2  ; FNC; 03C3
03F9  ; FNC; 03C3
1D2C  ; FNC; 0061
1D2D  ; FNC; 00E6
1D2E  ; FNC; 0062
1D30  ; FNC; 0064
1D31  ; FNC; 0065
1D32  ; FNC; 01DD
1D33  ; FNC; 0067
1D34  ; FNC; 0068
1D35  ; FNC; 0069
1D36  ; FNC; 006A
1D37  ; FNC; 006B
1D38  ; FNC; 006C
1D39  ; FNC; 006D
1D3A  ; FNC; 006E
1D3C  ; FNC; 006F
1D3D  ; FNC; 0223
1D3E  ; FNC; 0070
1D3F  ; FNC; 0072
1D40  ; FNC; 0074
1D41  ; FNC; 0075
1D42  ; FNC; 0077
20A8  ; FNC; 0072 0073
2102  ; FNC; 0063
2103  ; FNC; 00B0 0063
2107  ; FNC; 025B
2109  ; FNC; 00B0 0066
210B  ; FNC; 0068
210C  ; FNC; 0068
210D  ; FNC; 0068
2110  ; FNC; 0069
2111  ; FNC; 0069
2112  ; FNC; 006C
2115  ; FNC; 006E
2116  ; FNC; 006E 006F
2119  ; FNC; 0070
211A  ; FNC; 0071
211B  ; FNC; 0072
211C  ; FNC; 0072
211D  ; FNC; 0072
2120  ; FNC; 0073 006D
2121  ; FNC; 0074 0065 006C
2122  ; FNC; 0074 006D
2124  ; FNC; 007A
2128  ; FNC; 007A
212C  ; FNC; 0062
212D  ; FNC; 0063
2130  ; FNC; 0065
2131  ; FNC; 0066
2133  ; FNC; 006D
213B  ; FNC; 0066 0061 0078
213E  ; FNC; 03B3
213F  ; FNC; 03C0
2145  ; FNC; 0064
3250  ; FNC; 0070 0074 0065
32CC  ; FNC; 0068 0067
32CE  ; FNC; 0065 0076
32CF  ; FNC; 006C 0074 0064
3371  ; FNC; 0068 0070 0061
3373  ; FNC; 0061 0075
3375  ; FNC; 006F 0076
337A  ; FNC; 0069 0075
3380  ; FNC; 0070 0061
3381  ; FNC; 006E 0061
3382  ; FNC; 03BC 0061
3383  ; FNC; 006D 0061
3384  ; FNC; 006B 0061
3385  ; FNC; 006B 0062
3386  ; FNC; 006D 0062
3387  ; FNC; 0067 0062
338A  ; FNC; 0070 0066
338B  ; FNC; 006E 0066
338C  ; FNC; 03BC 0066
3390  ; FNC; 0068 007A
3391  ; FNC; 006B 0068 007A
3392  ; FNC; 006D 0068 007A
3393  ; FNC; 0067 0068 007A
3394  ; FNC; 0074 0068 007A
33A9  ; FNC; 0070 0061
33AA  ; FNC; 006B 0070 0061
33AB  ; FNC; 006D 0070 0061
33AC  ; FNC; 0067 0070 0061
33B4  ; FNC; 0070 0076
33B5  ; FNC; 006E 0076
33B6  ; FNC; 03BC 0076
33B7  ; FNC; 006D 0076
33B8  ; FNC; 006B 0076
33B9  ; FNC; 006D 0076
33BA  ; FNC; 0070 0077
33BB  ; FNC; 006E 0077
33BC  ; FNC; 03BC 0077
33BD  ; FNC; 006D 0077
33BE  ; FNC; 006B 0077
33BF  ; FNC; 006D 0077
33C0  ; FNC; 006B 03C9
33C1  ; FNC; 006D 03C9
33C3  ; FNC; 0062 0071
33C6  ; FNC; 0063 2215 006B 0067
33C7  ; FNC; 0063 006F 002E
33C8  ; FNC; 0064 0062
33C9  ; FNC; 0067 0079
33CB  ; FNC; 0068 0070
33CD  ; FNC; 006B 006B
33CE  ; FNC; 006B 006D
33D7  ; FNC; 0070 0068
33D9  ; FNC; 0070 0070 006D
33DA  ; FNC; 0070 0072
33DC  ; FNC; 0073 0076
33DD  ; FNC; 0077 0062
33DE  ; FNC; 0076 2215 006D
33DF  ; FNC; 0061 2215 006D
1D400 ; FNC; 0061
1D401 ; FNC; 0062
1D402 ; FNC; 0063
1D403 ; FNC; 0064
1D404 ; FNC; 0065
